id_partido,fecha_partido,equipo_local,equipo_visitante,goles_local,goles_visitante
492473,2008-08-17 00:00:00,9987,9993,1,1
492474,2008-08-16 00:00:00,10000,9994,0,0
492475,2008-08-16 00:00:00,9984,8635,0,3
492476,2008-08-17 00:00:00,9991,9998,5,0
492477,2008-08-16 00:00:00,7947,9985,1,3
492478,2008-09-24 00:00:00,8203,8342,1,1
492479,2008-08-16 00:00:00,9999,8571,2,2
492480,2008-08-16 00:00:00,4049,9996,1,2
492481,2008-08-16 00:00:00,10001,9986,1,0
492564,2008-11-01 00:00:00,8342,8571,4,1
492565,2008-10-31 00:00:00,9985,9986,1,2
492566,2008-11-02 00:00:00,10000,9991,0,2
492567,2008-11-01 00:00:00,9994,9998,0,0
492568,2008-11-01 00:00:00,7947,10001,2,2
492569,2008-11-01 00:00:00,8203,9999,1,2
492570,2008-11-01 00:00:00,9996,9984,0,1
492571,2008-11-01 00:00:00,4049,9987,1,3
492572,2008-11-02 00:00:00,9993,8635,1,3
492573,2008-11-08 00:00:00,8635,9994,2,3
492574,2008-11-08 00:00:00,9998,9996,0,0
492575,2008-11-09 00:00:00,9986,8342,2,2
492576,2008-11-07 00:00:00,9984,10000,2,0
492577,2008-11-08 00:00:00,9991,7947,1,1
492578,2008-11-08 00:00:00,9999,4049,1,2
492579,2008-11-08 00:00:00,8571,8203,0,0
492580,2008-11-08 00:00:00,10001,9987,1,0
492581,2008-11-09 00:00:00,9993,9985,1,3
492582,2008-11-16 00:00:00,8342,8635,1,1
492583,2008-11-15 00:00:00,9987,9999,1,1
492584,2008-11-15 00:00:00,10000,9993,2,2
492585,2008-11-16 00:00:00,9994,9985,1,1
492586,2008-11-15 00:00:00,7947,8571,1,0
492587,2008-11-15 00:00:00,8203,9998,0,0
492588,2008-11-15 00:00:00,9996,9986,2,1
492589,2008-11-15 00:00:00,4049,9984,3,0
492590,2008-11-14 00:00:00,10001,9991,3,2
492591,2008-11-22 00:00:00,8635,10001,2,0
492592,2008-11-22 00:00:00,9985,9996,3,1
492622,2008-11-22 00:00:00,9998,8342,1,2
492623,2008-11-22 00:00:00,9986,4049,3,2
492624,2008-11-22 00:00:00,9984,8203,2,1
492628,2008-11-23 00:00:00,9991,9987,2,3
492631,2008-11-22 00:00:00,9999,7947,2,2
492636,2008-12-16 00:00:00,8571,10000,1,0
492638,2008-11-22 00:00:00,9993,9994,0,2
492649,2008-11-30 00:00:00,8342,9993,3,0
492651,2008-11-29 00:00:00,9987,9984,3,2
492658,2008-11-29 00:00:00,10000,9986,4,2
492662,2008-11-29 00:00:00,9991,9999,4,0
492664,2008-11-28 00:00:00,7947,8635,0,2
492666,2008-11-30 00:00:00,8203,9985,0,0
492670,2008-11-29 00:00:00,9996,9994,2,0
492674,2008-11-29 00:00:00,4049,8571,3,3
492677,2008-11-29 00:00:00,10001,9998,2,1
492683,2008-12-06 00:00:00,8635,4049,5,1
492686,2008-12-06 00:00:00,9985,10000,1,2
492689,2008-12-06 00:00:00,9998,7947,5,2
492692,2008-12-06 00:00:00,9986,8203,1,2
492693,2008-12-05 00:00:00,9984,9991,3,1
492696,2008-12-07 00:00:00,9994,8342,2,0
492699,2008-12-06 00:00:00,9999,10001,1,0
492702,2008-12-07 00:00:00,8571,9987,3,1
