id_plantel,cantidad_jugadores
4769-2013/2014-9851,30
4769-2013/2014-8576,29
4769-2014/2015-9847,21
4769-2014/2015-7794,25
4769-2014/2015-9830,23
4769-2015/2016-8639,28
4769-2015/2016-9847,25
7809-2008/2009-8226,24
7809-2008/2009-9810,22
7809-2008/2009-9904,25
7809-2009/2010-8697,22
7809-2009/2010-9904,27
7809-2009/2010-8177,26
7809-2010/2011-8152,25
7809-2010/2011-9788,27
7809-2010/2011-9823,23
7809-2011/2012-8177,23
7809-2011/2012-9905,25
7809-2011/2012-10269,23
7809-2011/2012-9789,21
7809-2012/2013-8697,22
7809-2012/2013-9790,23
7809-2012/2013-8194,25
7809-2013/2014-8165,25
7809-2013/2014-9905,25
7809-2014/2015-8460,22
7809-2014/2015-9823,26
7809-2014/2015-9790,27
7809-2014/2015-8177,23
7809-2014/2015-9789,24
7809-2015/2016-9905,24
7809-2015/2016-8262,21
10257-2008/2009-8524,25
10257-2009/2010-8551,28
10257-2009/2010-8564,25
10257-2010/2011-10233,28
10257-2010/2011-8533,24
10257-2010/2011-8535,26
10257-2011/2012-9880,26
10257-2011/2012-8636,28
10257-2011/2012-8551,28
10257-2011/2012-9857,25
10257-2012/2013-8600,28
10257-2012/2013-9878,33
10257-2012/2013-8636,31
10257-2012/2013-9875,25
10257-2012/2013-8564,28
10257-2012/2013-9882,27
10257-2013/2014-8686,27
10257-2013/2014-8543,26
10257-2013/2014-8600,24
10257-2013/2014-8537,25
10257-2013/2014-8524,26
10257-2014/2015-8564,31
10257-2014/2015-8524,29
10257-2015/2016-9857,29
10257-2015/2016-208931,33
10257-2015/2016-9804,23
13274-2008/2009-10228,20
13274-2009/2010-10235,25
13274-2009/2010-9908,22
13274-2009/2010-10228,27
13274-2009/2010-10217,25
13274-2010/2011-8525,26
13274-2010/2011-8526,23
13274-2011/2012-9761,22
13274-2011/2012-10218,26
13274-2011/2012-8640,19
13274-2011/2012-8593,26
13274-2012/2013-10235,23
13274-2012/2013-10228,25
13274-2012/2013-8611,24
13274-2012/2013-9839,22
13274-2013/2014-9908,30
13274-2013/2014-10217,20
13274-2013/2014-9761,21
13274-2013/2014-10229,19
13274-2014/2015-6433,21
13274-2015/2016-9908,24
13274-2015/2016-10235,21
13274-2015/2016-7788,29
15722-2008/2009-8020,11
15722-2009/2010-2182,17
15722-2010/2011-1601,14
15722-2011/2012-10265,17
15722-2012/2013-8025,18
15722-2012/2013-8569,17
15722-2012/2013-8673,19
15722-2012/2013-10265,19
15722-2013/2014-8245,27
15722-2013/2014-8020,26
15722-2014/2015-1601,21
15722-2014/2015-8028,23
17642-2009/2010-7841,21
17642-2009/2010-6421,26
17642-2009/2010-10264,23
17642-2010/2011-9765,23
17642-2010/2011-6403,22
17642-2013/2014-10214,23
17642-2013/2014-158085,25
17642-2013/2014-9768,20
17642-2013/2014-10215,25
17642-2014/2015-10238,24
17642-2014/2015-10215,27
17642-2014/2015-9768,25
17642-2015/2016-9772,25
19694-2009/2010-8548,23
19694-2009/2010-8597,26
19694-2009/2010-8485,24
19694-2010/2011-9938,21
19694-2011/2012-8457,26
19694-2011/2012-8485,26
19694-2012/2013-10251,24
19694-2013/2014-9925,29
19694-2013/2014-8485,23
19694-2013/2014-8649,29
19694-2014/2015-9800,28
19694-2015/2016-8649,24
19694-2015/2016-8066,19
19694-2015/2016-8597,31
21518-2008/2009-9865,22
21518-2008/2009-10267,22
21518-2008/2009-8558,25
21518-2008/2009-8388,21
21518-2008/2009-9864,21
21518-2009/2010-8633,21
21518-2009/2010-9868,20
21518-2009/2010-8371,20
21518-2010/2011-8696,26
21518-2011/2012-8305,25
21518-2012/2013-8558,24
21518-2012/2013-9910,24
21518-2012/2013-9906,23
21518-2012/2013-8371,27
21518-2013/2014-9864,26
21518-2013/2014-10205,25
4769-2011/2012-4087,26
4769-2011/2012-7819,20
4769-2011/2012-9831,26
4769-2011/2012-8521,27
4769-2011/2012-9851,25
4769-2012/2013-9874,25
4769-2012/2013-9853,21
4769-2012/2013-10249,27
4769-2012/2013-9941,23
4769-2013/2014-9837,23
4769-2013/2014-9748,26
4769-2014/2015-9941,25
4769-2014/2015-8639,26
4769-2015/2016-9837,28
4769-2015/2016-10242,31
7809-2008/2009-8178,19
7809-2012/2013-8226,30
7809-2013/2014-9904,24
7809-2013/2014-9790,26
7809-2015/2016-10189,21
10257-2013/2014-8564,31
10257-2015/2016-8533,24
13274-2009/2010-8674,22
13274-2010/2011-8593,27
13274-2011/2012-8277,25
13274-2012/2013-10217,22
13274-2014/2015-8640,19
15722-2009/2010-8673,10
15722-2010/2011-2186,13
15722-2014/2015-10265,18
15722-2015/2016-8020,30
17642-2008/2009-10215,24
17642-2009/2010-9773,23
17642-2011/2012-10214,30
17642-2012/2013-7842,24
17642-2014/2015-6403,26
19694-2010/2011-8066,24
19694-2011/2012-10251,29
19694-2011/2012-9800,19
19694-2012/2013-8284,24
19694-2012/2013-8597,32
19694-2013/2014-8066,20
21518-2010/2011-8581,24
21518-2010/2011-8633,24
21518-2012/2013-10267,23
21518-2012/2013-8394,27
21518-2013/2014-10268,26
21518-2014/2015-10205,26
21518-2014/2015-8634,23
21518-2014/2015-7869,31
21518-2014/2015-7878,30
21518-2014/2015-9906,20
21518-2014/2015-8558,23
21518-2015/2016-9864,27
21518-2015/2016-10205,26
24558-2010/2011-10179,22
24558-2011/2012-7730,26
24558-2013/2014-9956,23
24558-2014/2015-10179,29
24558-2015/2016-9824,29
1-2009/2010-8203,21
1-2010/2011-9997,23
1-2011/2012-10001,31
1-2011/2012-9989,27
1-2011/2012-9994,23
1-2012/2013-9994,22
1-2012/2013-9985,30
1-2012/2013-9987,24
1-2014/2015-9985,32
1-2014/2015-274581,22
1-2014/2015-8342,26
1-2014/2015-8571,20
1-2015/2016-8571,22
1729-2008/2009-10260,29
1729-2008/2009-8655,25
1729-2009/2010-8655,27
1729-2009/2010-8650,25
1729-2010/2011-10260,28
1729-2010/2011-8456,23
1729-2010/2011-10261,24
1729-2010/2011-8668,20
1729-2011/2012-8528,22
1729-2011/2012-8586,22
1729-2012/2013-10252,25
1729-2012/2013-8586,23
1729-2012/2013-8668,20
1729-2013/2014-10252,23
1729-2013/2014-10003,23
1729-2013/2014-8668,21
1729-2013/2014-10194,22
1729-2013/2014-9825,23
1729-2013/2014-9850,22
1729-2014/2015-8472,24
1729-2014/2015-8654,22
1729-2015/2016-8472,29
4769-2008/2009-7819,21
4769-2008/2009-9855,26
4769-2008/2009-9829,31
4769-2009/2010-10249,19
4769-2009/2010-9851,22
4769-2010/2011-8583,23
4769-2010/2011-8639,20
4769-2010/2011-10249,22
13274-2012/2013-8593,27
13274-2014/2015-6413,19
13274-2015/2016-6413,21
15722-2009/2010-1957,13
15722-2010/2011-8021,13
15722-2013/2014-1957,26
15722-2015/2016-177361,28
17642-2008/2009-9773,20
17642-2009/2010-9772,23
17642-2011/2012-2033,24
19694-2010/2011-8485,27
19694-2012/2013-9925,26
19694-2014/2015-9938,24
19694-2015/2016-8284,22
21518-2009/2010-8558,24
21518-2009/2010-9865,20
21518-2010/2011-8305,23
21518-2011/2012-8603,27
21518-2011/2012-8370,25
21518-2013/2014-8305,26
21518-2014/2015-9783,25
24558-2008/2009-9930,16
24558-2015/2016-10191,26
1-2008/2009-9991,19
1-2008/2009-9984,17
1-2009/2010-9997,16
1-2010/2011-8342,21
1-2011/2012-9997,22
1-2012/2013-8571,21
1-2012/2013-8203,25
1-2012/2013-9991,32
1-2014/2015-9987,26
1729-2009/2010-8602,28
1729-2010/2011-8483,27
1729-2011/2012-10261,24
1729-2012/2013-9825,23
4769-2008/2009-8592,23
4769-2009/2010-8588,21
4769-2009/2010-9829,25
4769-2009/2010-4170,31
