id_season,fecha_inicio,fecha_fin
1-2011/2012,2011-07-29 00:00:00,2012-03-21 00:00:00
7809-2014/2015,2014-08-22 00:00:00,2015-05-23 00:00:00
7809-2015/2016,2015-08-14 00:00:00,2016-05-14 00:00:00
10257-2010/2011,2010-08-28 00:00:00,2011-05-22 00:00:00
13274-2012/2013,2012-08-10 00:00:00,2013-05-12 00:00:00
13274-2013/2014,2013-08-02 00:00:00,2014-05-03 00:00:00
17642-2009/2010,2009-08-14 00:00:00,2010-05-09 00:00:00
21518-2014/2015,2014-08-23 00:00:00,2015-05-23 00:00:00
24558-2010/2011,2010-07-17 00:00:00,2011-05-25 00:00:00
15722-2014/2015,2014-07-18 00:00:00,2015-04-29 00:00:00
19694-2009/2010,2009-08-15 00:00:00,2010-05-09 00:00:00
19694-2013/2014,2013-08-02 00:00:00,2014-05-11 00:00:00
19694-2014/2015,2014-08-09 00:00:00,2015-05-24 00:00:00
7809-2010/2011,2010-08-20 00:00:00,2011-05-14 00:00:00
10257-2014/2015,2014-08-30 00:00:00,2015-05-31 00:00:00
15722-2011/2012,2011-07-29 00:00:00,2012-05-06 00:00:00
19694-2008/2009,2008-08-09 00:00:00,2009-05-24 00:00:00
1729-2011/2012,2011-08-13 00:00:00,2012-05-13 00:00:00
4769-2011/2012,2011-08-06 00:00:00,2012-05-20 00:00:00
7809-2013/2014,2013-08-09 00:00:00,2014-05-10 00:00:00
13274-2015/2016,2015-08-08 00:00:00,2016-05-08 00:00:00
19694-2011/2012,2011-07-23 00:00:00,2012-05-13 00:00:00
21518-2012/2013,2012-08-18 00:00:00,2013-06-01 00:00:00
24558-2009/2010,2009-07-11 00:00:00,2010-05-16 00:00:00
4769-2010/2011,2010-08-07 00:00:00,2011-05-29 00:00:00
7809-2008/2009,2008-08-15 00:00:00,2009-05-23 00:00:00
15722-2012/2013,2012-08-17 00:00:00,2013-06-02 00:00:00
15722-2015/2016,2015-07-17 00:00:00,2016-04-09 00:00:00
24558-2011/2012,2011-07-16 00:00:00,2012-05-23 00:00:00
1-2012/2013,2012-07-28 00:00:00,2013-03-16 00:00:00
1-2013/2014,2014-03-29 00:00:00,2014-05-03 00:00:00
1729-2014/2015,2014-08-16 00:00:00,2015-05-24 00:00:00
1729-2015/2016,2015-08-08 00:00:00,2016-05-17 00:00:00
4769-2013/2014,2013-08-09 00:00:00,2014-05-17 00:00:00
4769-2014/2015,2014-08-08 00:00:00,2015-05-23 00:00:00
